OBJECTID,Name,Lat,Long,Height,Prominence,URL,Date,PIC_URL
1,Grey Mountain,60.67722,-134.90472,1494,534,https://bivouac.com/MtnPg.asp?MtnId=12127,2020-05-10,https://lh3.googleusercontent.com/pw/AL9nZEWnNuiI2BhA7-fsTWGtjHNwwdpvfO_RheNMTLNw7fK2wvQ4pVIYSZvzH-qDA1p1xcA1yJKOVkaxn5in6qlXdA3NGDPaY2Kql4RRQxOFzQRoY3G2ba8pNyAAvG2S5_iJ3BmLCncPxnqu3qeICIDd2bv7gg=w1250-h937-no?authuser=0
2,Mount McIntyre,60.626,-135.1483,1597,177,https://bivouac.com/MtnPg.asp?MtnId=5111,2020-08-29,https://lh3.googleusercontent.com/pw/AL9nZEU_y1jMGKCOSaOcfqtwNEA4uHZScUCg60HBDFjKrlYccVH7UNUq_JGkH2WFkYUys_nDZ0Xj1FzzL029udh3yGM07aC8M2caF2xdGRo2KpIiJi7sy-7f4vDbwUy4GIvFA0CkHCr-_8avDEUxyFMoYQBcXQ=w703-h937-no?authuser=0
3,Tally Ho Mountain,60.2248,-135.0555,1785,640,https://bivouac.com/MtnPg.asp?MtnId=20112,2020-09-13,https://lh3.googleusercontent.com/pw/AL9nZEU0PchEXSq-kuwuzyGajSFMAKNvaFsehds8VWDTIYXEjJfByi-fnbNJcc61ueJM5N_GD2dQ8SlJ4YrlqXglvwTqNZauKV493EaIYiooGYcOZMgjsDhSe1ESPmofKSavZW1rygXb1HWEUtcg6XBHO9RiFw=w703-h937-no?authuser=0
4,Sheep SW2,61.024,-138.56433,1935,90,https://bivouac.com/MtnPg.asp?MtnId=17618,2021-07-04,https://lh3.googleusercontent.com/pw/AL9nZEWLf1mWarFuH0VlwL3F1nSA7p-O-U1vhs3VMB4XIeoHTZKo12XZNOr3ZV7VzquLQJUEGQSM5l2wH-lkj8b-yrvoS7BZoxpFnrsrk0affCLABHrtswZCIAarQewbIfehTPKUMJU3T1T3MeobEV7N0OBxlQ=w1560-h702-no?authuser=0
5,Golden Horn Mountain,60.55833,-135.05083,1712,412,https://bivouac.com/MtnPg.asp?MtnId=4849,2021-07-10,https://lh3.googleusercontent.com/pw/AL9nZEUkr6dc8DXmuNpcPTDq0K3BCvbgSlDPyU_RusPzI7UemalnkqWh2NqRQE695MhZX5DKdjPOhV0Pe2KuHPfMGYD3PHADw5Upy4tOYrI2jAxt4uPz26OwZCKa-jW65RVCuHBSwanWMVU3VPvtvCRyqle9_A=w422-h937-no?authuser=0
6,Mount Sumanik,60.7465,-135.32449,1701,681,https://bivouac.com/MtnPg.asp?MtnId=26781,2022-07-16,https://lh3.googleusercontent.com/pw/AL9nZEVz_wFiiDfLWwz8NBpdEkxxcXOroBjSAmM9nPXKmPUXQRj3coyp9xxyzdT-7LGwKZFzOfjSaY25Z7p2rUAdXDlGbVdPSU3rArPouzDrADleOmi3ExmTGmluVnJn_iWFkcm7ulxIryBWYk0ksmBym3PefA=w465-h937-k-no?authuser=0
7,Mount Anderson,60.20967,-135.15083,1720,150,https://bivouac.com/MtnPg.asp?MtnId=26777,2022-08-27,https://lh3.googleusercontent.com/pw/AL9nZEWbcPbFBuKrHwAzhO9fXv_oAevP_F7c_X4ij4p2tWopPQCMqKHkPk6JEHlR9HJQOLN7dcmiURTcYt6yZhWI_Nx-MvwAsTkAEAqghWrXbP8kEKF3TjzOdk4j-bDwoqHxDFrIOyUJCeJ-WNd6r6ER76gymQ=w703-h937-no?authuser=0
8,Dail Peak,60.0163,-134.66949,1900,85,https://bivouac.com/MtnPg.asp?MtnId=5544,2022-09-04,https://lh3.googleusercontent.com/pw/AL9nZEUp5AcbTQJbQNpmaQELrZMpOCq5VpvH2tAJ_g-5IEC23SZWXpsFWRPGXesYw2oSgpmTrNIRkBRp9uhJpMMaXbD6vxwDCp-07ujOOfvWj0SGKEKL3YQOu9Ui5gmK9P6nKVKJ29hvx5Wpd4KuElXCoNPR8A=w1250-h937-no?authuser=0
9,Mount Perkins,60.33639,-135.10222,2034,324,https://bivouac.com/MtnPg.asp?MtnId=20099,2022-10-03,https://lh3.googleusercontent.com/pw/AL9nZEWIdSxhtLA3jXa2OC9p-XCWzReYc8IJTY9CxxwOrKIMzvovylVreQGIXy69Mk7ZEelftg9oGVDR40lCMCYyZ0dFBZoGeZlib8YY-bI-mSkiGCOq4IoXL5FTbk3yIpVwB8pgesMOI1i_v5DvKcwyTY0NhQ=w1250-h937-no?authuser=0
