OBJECTID,Name,Latitude,Longitude,PIC_URL
1,MON 118,59.625719,-135.15759,https://lh3.googleusercontent.com/pw/AP1GczMH5wxOTxzMp7IjR_V1nAP0HhfHk9kYrkmLR_fMBH1HviZFEUIYJWFphe3y1znwPViNbWuJH9NBqpT0C9U5PRXLlITj6X74b3WpEQfzpjWw19Pj_7cR0cvUXrGB1WkQicniKFooZnKgczP6iV2_grHKhw=w434-h578-s-no-gm
2,MON 118A,59.629624,-135.164139,https://lh3.googleusercontent.com/pw/AP1GczMOD12NILzC7pK8dRmI1ijW7WI34YbyDYtdF4d2hT3IwPs2RXCXx_NtIF1nnAMxkPHumIuLe0zOoEJMV4Gw10x6ZImXv3Xk06Lccogy3yXITBmDZTkpYjQuc7qpT5s3-PmAwITt82P_YuwrFSRNBVzENg=w434-h578-s-no-gm
3,MON 162B,62.61496,-141.0014453,https://lh3.googleusercontent.com/pw/AP1GczNaw7HAAaH19SbknVlGpVIpOm9Wok2UoZmjHdb9itSFVGSziQ5WVdYnYNsC89X7C0PtAifRMjCcBfVGYxzBRRm_8kSAwIaM4ZdQmy3_FliRWPkClEbUUtlTpIRvtSGRPaYYqPewazfeItQfHLFFw2_YUw=w433-h578-s-no-gm
4,MON 162A,62.61583167,-141.0014461,https://lh3.googleusercontent.com/pw/AP1GczOZkCXxWSJA1C-dFEBi4vWNa0qgV63zVhlNTcnJ5gjrZRByyL_58fzM2KnJUjSTt3ucpmXAy4cNVH6_MhQGytACW0XHRlqhyloBYBM9YWQILqYARaN10jc7SJkq2qaZIesRJmNs2kQGqs4FQ9UoGLzhxg=w434-h578-s-no-gm
5,MON 146,59.450374,-136.362507,https://lh3.googleusercontent.com/pw/AP1GczNBG4PV56OSsg7F_U4_FzPQgZHmI07K03nGxMxhi1W4TbUDCc2nK9BxqqgzRiDxbwOlUsU4Y5pABdjVzhClFB4t2dKnVHSIYpOF4BLgnOJHV5Ctn13MCwJHj0ptC6iA755g396Mmgyc0yOGMC7TpebTew=w959-h1279-s-no-gm
