OBJECTID,Name,Latitude,Longitude,PIC_URL
1,Kluane Ice Fields,60.68321167,-139.7866806,https://lh3.googleusercontent.com/pw/AP1GczM-uaugcP7BVr1j2BS_H_AqXkPo1XpPS0d1bQ2BTg3WQ7-SNhGLkkGrtmy5fTpdcMiSrGSDqghOV0-heLl92tM0K469eOn6y8MrBfwlx83RuHlaE8OGXMLPF2k2x54FWGA25aS2NeWvZjKmiTedUjCElw=w2200-h992-s-no-gm?authuser=0
2,Sign Post Forest,60.063486,-128.7138499,https://lh3.googleusercontent.com/pw/AP1GczNdhpmhJyijZgDc9NEAitP0rmK0-4c7zv0Dse-Bpv9lJFLBQaFu8WVJUc0DP3n-W-9qNd1kN_jBn5HRgPcx9WGDMOoYNy_-QTKbrBTbiKw21boDootq7pwfDlWtCSFv-SXcYSv3BDKByWF4Yp3aa_F6NA=w1705-h1279-s-no-gm?authuser=0
3,Ice Climbing,60.3278834,-133.9257464,https://lh3.googleusercontent.com/pw/AP1GczM9Tv4SvhCYii99uOuiz7PG6PzszJP6AohdDRwCce5oXW9AzyRHX3uOp3BFj_v4EsvvcOY73_K6tHTU7tOj4GjxzjQe2zKdewZEEWZMw92cznzfGVtfopisw6inxuZl43iixZq3qg0nm2wcLNcAeVV_pg=w956-h1279-s-no-gm?authuser=0
4,Fish Lake Ridge,60.626589,-135.27274535,https://lh3.googleusercontent.com/pw/AP1GczNrBHUFii5g9SEIDnSuSXQI3GsfG59SUUeXewqo3cwQZS1r4nryKBfzekvQhGXrWkbZp5jkXOALTHQhBLe5ZF-66WzQwhiJNOBPooeMAR-dG0ChFvYol7SjYgcge16xIajjBvtikGfgy2Ww6xHU9t1QQg=w1705-h1279-s-no-gm?authuser=0
5,Louise Lake,60.6928897,-135.2825182,https://lh3.googleusercontent.com/pw/AP1GczNY9K_J9NcwwQ-HpApWtZQvyLxkFMDBQrwup0h5PfDk5JzQ0Qoq2vp6iJlzc14OhCokNzy6kQ5LCMIvzXge5UjR4OtiniKdRvvSefoeJ68kF15nYRckSr00mxz-h2DuCRs2RxS-1vWjn3MhfLqwObzy5A=w1024-h1279-s-no-gm?authuser=0
6,Along Bonnet Plume River,-134.75112,65.59193,https://lh3.googleusercontent.com/pw/AP1GczPqQR4C8NIBVcRcRuTAg0niZEFJIBIFa8ERfmW1hl8izAeZG_9l7qJLILJdxEnLSmbQRAC8v1Qc3tFAEMtGLV1-y6Ddp5pbMfsWJpXZzcRnv1HQ2X-NlhKYxqmHRHlcSHbpNg8Ltq-e5meaQTGLQBDNNA=w1705-h1279-s-no-gm?authuser=0
